id,DaysTillDue,TimeToComplete,Difficulty,Priority
English,2,65,6,4
English,5,40,4,2
English,4,50,5,2
English,3,50,5,3
English,2,65,6,4
English,2,50,5,3
English,4,60,5,2
English,2,65,6,4
English,1,75,6,5
English,2,35,3,3
English,1,95,8,5
English,3,30,3,2
English,5,60,5,2
English,3,50,5,3
English,1,25,3,4
English,1,35,3,4
English,4,30,3,2
English,1,60,5,5
English,4,55,5,2
English,3,50,5,3
English,2,45,4,3
English,4,40,4,2
English,1,25,3,4
English,2,50,5,3
English,2,55,5,3
English,2,55,5,3
English,1,50,5,5
English,4,45,4,2
English,4,55,5,2
English,1,45,4,4
English,5,40,4,2
English,2,35,3,3
English,2,100,8,4
English,4,50,5,2
English,4,90,7,3
English,3,45,4,2
English,7,25,3,1
English,2,45,4,3
English,5,60,5,2
English,2,60,5,4
English,2,85,7,4
English,2,50,5,3
English,1,70,6,5
English,2,35,3,3
English,2,60,5,4
English,3,40,4,2
English,3,70,6,3
English,2,65,6,4
English,5,65,6,2
English,7,35,3,1
English,2,55,5,3
English,1,50,5,5
English,3,60,5,3
English,4,50,5,2
English,5,65,6,2
English,1,45,4,4
English,5,40,4,2
English,2,35,3,3
English,2,50,5,3
English,4,40,4,2
English,5,45,4,2
English,2,15,2,3
English,2,25,3,3
English,1,45,4,4
English,2,25,3,3
English,3,30,3,2
English,5,55,5,2
English,7,55,5,2
English,3,45,4,2
English,2,45,4,3
English,2,55,5,3
English,4,100,8,3
English,2,50,5,3
English,1,40,4,4
English,4,50,5,2
English,5,35,3,1
English,2,65,6,4
English,1,45,4,4
English,5,55,5,2
English,3,40,4,2
English,1,35,3,4
English,7,60,5,2
English,3,70,6,3
English,1,50,5,5
English,3,75,6,3
English,4,35,3,2
English,3,35,3,2
English,2,45,4,3
English,2,60,5,3
English,4,70,6,2
English,1,65,6,5
English,2,25,3,3
English,6,135,0,2
English,2,45,4,3
English,3,45,4,2
English,3,25,3,2
English,2,25,3,3
English,5,70,6,2
English,2,55,5,3
English,5,90,7,3
English,2,70,6,4
English,6,55,5,2
English,4,65,6,2
English,2,80,7,4
English,2,75,6,4
English,3,45,4,2
English,2,30,3,3
English,2,70,6,4
English,1,25,3,4
English,4,60,5,2
English,2,30,3,3
English,1,50,5,5
English,2,50,5,3
English,2,40,4,3
English,3,75,6,3
English,2,45,4,3
English,2,60,5,4
English,3,35,3,2
English,2,70,6,4
English,4,55,5,2
English,3,50,5,3
English,2,60,5,3
English,2,45,4,3
English,4,55,5,2
English,3,35,3,2
English,2,40,4,3
English,2,40,4,3
English,3,40,4,2
English,2,25,3,3
English,3,50,5,3
English,7,65,6,2
English,4,65,6,2
English,4,50,5,2
English,2,45,4,3
English,5,65,6,2
English,1,40,4,4
English,3,35,3,2
English,7,45,4,2
English,7,45,4,2
English,1,35,3,4
English,2,75,6,4
English,4,30,3,2
English,4,65,6,2
English,2,50,5,3
English,2,25,3,3
English,4,60,5,2
English,1,65,6,5
English,4,45,4,2
English,7,15,2,1
English,1,65,6,5
English,3,30,3,2
English,4,60,5,2
English,1,70,6,5
English,2,60,5,3
English,2,60,5,3
English,2,60,5,3
English,4,50,5,2
English,2,15,2,3
English,1,65,6,5
English,3,25,3,2
English,3,25,3,2
English,3,60,5,3
English,2,45,4,3
English,3,35,3,2
English,1,30,3,4
English,1,80,7,5
English,5,70,6,2
English,2,55,5,3
English,4,20,2,1
English,2,40,4,3
English,3,35,3,2
English,2,40,4,3
English,5,60,5,2
English,3,55,5,3
English,5,70,6,2
English,2,115,9,5
English,4,15,2,1
English,2,40,4,3
English,2,60,5,3
English,2,75,6,4
English,2,50,5,3
English,4,75,6,3
English,4,35,3,2
English,1,35,3,4
English,2,35,3,3
English,4,60,5,2
English,4,40,4,2
English,2,70,6,4
English,2,60,5,3
English,5,70,6,2
English,7,15,2,1
English,4,60,5,2
English,1,35,3,4
English,1,20,2,4
English,5,90,7,3
English,3,30,3,2
English,4,40,4,2
English,4,40,4,2
English,1,55,5,5
English,3,50,5,3
English,1,40,4,4
English,2,30,3,3
English,7,55,5,2
English,1,120,10,6
English,2,40,4,3
English,1,50,5,5
English,3,55,5,3
English,4,85,7,3
English,5,50,5,2
English,2,50,5,3
English,2,105,9,4
English,1,60,5,5
English,2,30,3,3
English,3,40,4,2
English,5,75,6,2
English,4,30,3,2
English,6,45,4,2
English,3,75,6,3
English,4,45,4,2
English,4,40,4,2
English,2,35,3,3
English,2,60,5,3
English,6,65,6,2
English,1,55,5,5
English,1,35,3,4
English,1,50,5,5
English,1,45,4,4
English,1,65,6,5
English,1,50,5,5
English,4,65,6,2
English,2,30,3,3
English,4,50,5,2
English,2,40,4,3
English,4,50,5,2
English,2,50,5,3
English,5,40,4,2
English,2,20,2,3
English,5,45,4,2
English,2,45,4,3
English,2,70,6,4
English,2,45,4,3
English,4,75,6,3
English,2,55,5,3
English,5,50,5,2
English,3,40,4,2
English,3,40,4,2
English,3,55,5,3
English,1,45,4,4
English,7,25,3,1
English,3,30,3,2
English,1,25,3,4
English,2,40,4,3
English,4,50,5,2
English,7,45,4,2
English,3,45,4,2
English,6,45,4,2
English,3,30,3,2
English,4,70,6,2
English,7,35,3,1
English,3,75,6,3
English,1,55,5,5
English,2,40,4,3
English,2,45,4,3
English,2,45,4,3
English,3,40,4,2
English,2,55,5,3
English,3,40,4,2
English,2,65,6,4
English,1,60,5,5
English,2,65,6,4
English,1,50,5,5
English,3,70,6,3
English,6,40,4,2
English,4,20,2,1
English,3,30,3,2
English,2,50,5,3
English,4,60,5,2
English,2,40,4,3
English,3,75,6,3
English,3,35,3,2
English,1,60,5,5
English,2,35,3,3
English,1,80,7,5
English,1,45,4,4
English,3,35,3,2
English,2,30,3,3
English,1,45,4,4
English,4,55,5,2
English,1,35,3,4
English,3,35,3,2
English,4,50,5,2
English,2,30,3,3
English,2,35,3,3
English,4,65,6,2
English,2,40,4,3
English,3,45,4,2
English,2,45,4,3
English,5,45,4,2
English,4,45,4,2
English,1,55,5,5
English,4,35,3,2
English,2,45,4,3
English,2,65,6,4
English,3,40,4,2
English,2,25,3,3
English,3,45,4,2
English,2,35,3,3
English,4,60,5,2
English,3,55,5,3
English,2,75,6,4
English,2,55,5,3
English,1,45,4,4
English,5,50,5,2
English,3,30,3,2
English,3,20,2,2
English,7,65,6,2
English,1,75,6,5
English,3,35,3,2
English,2,40,4,3
English,3,70,6,3
English,2,50,5,3
English,1,60,5,5
English,5,50,5,2
English,3,60,5,3
English,1,60,5,5
English,2,60,5,4
English,2,30,3,3
English,2,50,5,3
English,4,60,5,2
English,2,70,6,4
English,3,35,3,2
English,2,25,3,3
English,1,65,6,5
English,2,30,3,3
English,4,50,5,2
English,4,75,6,3
English,5,50,5,2
English,1,40,4,4
English,4,30,3,2
English,2,40,4,3
English,4,35,3,2
English,4,55,5,2
English,3,35,3,2
English,1,50,5,5
English,3,40,4,2
English,5,55,5,2
English,3,40,4,2
English,5,50,5,2
English,5,70,6,2
English,6,40,4,2
English,3,30,3,2
English,2,80,7,4
English,1,60,5,5
English,3,50,5,3
English,2,60,5,4
English,2,35,3,3
English,2,35,3,3
English,4,30,3,2
English,2,65,6,4
English,2,50,5,3
English,2,65,6,4
English,2,55,5,3
English,4,30,3,2
English,2,85,7,4
English,1,35,3,4
English,4,50,5,2
English,2,30,3,3
English,5,45,4,2
English,2,70,6,4
English,7,70,6,2
English,1,40,4,4
English,5,45,4,2
English,2,25,3,3
English,3,45,4,2
English,4,70,6,2
English,3,75,6,3
English,2,25,3,3
English,2,60,5,3
English,6,45,4,2
English,2,30,3,3
English,5,50,5,2
English,3,40,4,2
English,4,50,5,2
English,4,70,6,2
English,4,35,3,2
English,1,95,8,5
English,3,75,6,3
English,7,50,5,2
English,2,60,5,3
English,2,40,4,3
English,4,20,2,1
English,7,30,3,1
English,3,60,5,3
English,4,55,5,2
English,7,50,5,2
English,2,25,3,3
English,1,50,5,5
English,2,50,5,3
English,3,55,5,3
English,7,35,3,1
English,4,45,4,2
English,2,65,6,4
English,3,80,7,3
English,4,75,6,3
English,2,35,3,3
English,3,35,3,2
English,3,60,5,3
English,1,25,3,4
English,3,65,6,3
English,4,50,5,2
English,3,65,6,3
English,4,35,3,2
English,2,55,5,3
English,3,25,3,2
English,3,60,5,3
English,2,45,4,3
English,1,80,7,5
English,7,40,4,2
English,4,45,4,2
English,4,50,5,2
English,3,50,5,3
English,2,45,4,3
English,2,50,5,3
English,4,40,4,2
English,5,60,5,2
English,2,45,4,3
English,4,55,5,2
English,3,30,3,2
English,6,35,3,1
English,4,25,3,2
English,2,45,4,3
English,3,70,6,3
English,1,40,4,4
English,3,45,4,2
English,1,75,6,5
English,2,80,7,4
English,2,30,3,3
English,2,85,7,4
English,3,50,5,3
English,3,40,4,2
English,1,40,4,4
English,1,40,4,4
English,3,45,4,2
English,4,35,3,2
English,3,30,3,2
English,2,30,3,3
English,4,60,5,2
English,3,65,6,3
English,4,40,4,2
English,2,40,4,3
English,5,35,3,1
English,5,100,8,3
English,2,25,3,3
English,1,35,3,4
English,5,35,3,1
English,2,60,5,3
English,7,20,2,1
English,4,60,5,2
English,3,35,3,2
English,5,50,5,2
English,2,75,6,4
English,5,20,2,1
English,3,50,5,3
English,3,35,3,2
English,5,15,2,1
English,1,45,4,4
English,2,70,6,4
English,2,50,5,3
English,3,40,4,2
English,2,25,3,3
English,2,50,5,3
English,2,25,3,3
English,4,35,3,2
English,2,50,5,3
English,2,35,3,3
English,2,55,5,3
English,3,50,5,3
English,1,40,4,4
English,2,50,5,3
English,2,85,7,4
English,4,65,6,2
English,2,70,6,4
English,3,15,2,2
English,3,85,7,3
English,1,45,4,4
English,3,50,5,3
English,2,55,5,3
English,4,35,3,2
English,1,40,4,4
English,2,50,5,3
English,4,30,3,2
English,4,55,5,2
English,2,40,4,3
English,3,60,5,3
English,2,45,4,3
English,3,25,3,2
English,1,75,6,5
English,4,60,5,2
English,2,65,6,4
English,3,75,6,3
English,2,75,6,4
English,3,80,7,3
English,1,75,6,5
English,5,55,5,2
English,1,25,3,4
English,6,50,5,2
English,3,50,5,3
English,4,50,5,2
English,3,65,6,3
English,5,25,3,1
English,4,90,7,3
English,2,35,3,3
English,4,50,5,2
English,5,60,5,2
English,1,25,3,4
English,3,60,5,3
English,1,50,5,5
English,4,65,6,2
English,1,50,5,5
English,1,35,3,4
English,4,40,4,2
English,3,35,3,2
English,1,60,5,5
English,4,50,5,2
English,3,105,9,4
English,1,55,5,5
English,1,50,5,5
English,3,75,6,3
English,1,55,5,5
English,4,60,5,2
English,2,45,4,3
English,2,60,5,3
English,4,55,5,2
English,1,45,4,4
English,4,85,7,3
English,1,65,6,5
English,4,50,5,2
English,1,35,3,4
English,4,15,2,1
English,2,35,3,3
English,2,40,4,3
English,4,25,3,2
English,1,50,5,5
English,2,90,7,4
English,2,55,5,3
English,1,15,2,4
English,2,50,5,3
English,4,50,5,2
English,1,45,4,4
English,2,40,4,3
English,2,30,3,3
English,1,100,8,5
English,5,35,3,1
English,1,20,2,4
English,3,55,5,3
English,7,60,5,2
English,2,40,4,3
English,3,60,5,3
English,2,55,5,3
English,1,70,6,5
English,1,30,3,4
English,1,60,5,5
English,1,30,3,4
English,1,35,3,4
English,6,35,3,1
English,2,80,7,4
English,3,70,6,3
English,3,40,4,2
English,4,40,4,2
English,5,75,6,2
English,1,35,3,4
English,3,20,2,2
English,2,30,3,3
English,4,50,5,2
English,2,45,4,3
English,2,70,6,4
English,3,30,3,2
English,2,60,5,4
English,2,75,6,4
English,3,30,3,2
English,4,70,6,2
English,2,50,5,3
English,1,35,3,4
English,3,55,5,3
English,4,60,5,2
English,1,30,3,4
English,1,45,4,4
English,3,55,5,3
English,5,80,7,2
English,4,40,4,2
English,5,40,4,2
English,2,40,4,3
English,4,50,5,2
English,2,60,5,3
English,2,40,4,3
English,2,50,5,3
English,3,90,7,3
English,4,50,5,2
English,7,55,5,2
English,2,95,8,4
English,2,65,6,4
English,2,35,3,3
English,2,35,3,3
English,5,35,3,1
English,6,75,6,2
English,2,65,6,4
English,1,40,4,4
English,4,25,3,2
English,3,50,5,3
English,1,45,4,4
English,4,25,3,2
English,4,50,5,2
English,2,65,6,4
English,4,40,4,2
English,3,20,2,2
English,2,25,3,3
English,3,45,4,2
English,3,60,5,3
English,1,70,6,5
English,1,60,5,5
English,1,60,5,5
English,2,85,7,4
English,4,70,6,2
English,3,30,3,2
English,1,45,4,4
English,3,75,6,3
English,5,85,7,3
English,1,30,3,4
English,3,65,6,3
English,4,45,4,2
English,2,45,4,3
English,3,20,2,2
English,3,35,3,2
English,5,25,3,1
English,1,70,6,5
English,5,60,5,2
English,5,100,8,3
English,5,110,9,3
English,2,65,6,4
English,1,55,5,5
English,1,45,4,4
English,1,75,6,5
English,3,25,3,2
English,4,60,5,2
English,4,35,3,2
English,1,50,5,5
English,6,55,5,2
English,1,20,2,4
English,2,35,3,3
English,2,25,3,3
English,4,35,3,2
English,2,75,6,4
English,2,90,7,4
English,2,55,5,3
English,1,65,6,5
English,3,75,6,3
English,3,40,4,2
English,1,85,7,5
English,3,45,4,2
English,4,45,4,2
English,1,80,7,5
English,7,20,2,1
English,1,20,2,4
English,1,50,5,5
English,3,30,3,2
English,4,70,6,2
English,1,60,5,5
English,3,60,5,3
English,1,70,6,5
English,3,20,2,2
English,3,70,6,3
English,2,70,6,4
English,5,30,3,1
English,4,65,6,2
English,2,60,5,3
English,2,50,5,3
English,3,25,3,2
English,3,45,4,2
English,5,80,7,2
English,3,45,4,2
English,3,25,3,2
English,6,50,5,2
English,2,40,4,3
English,2,35,3,3
English,2,45,4,3
English,2,45,4,3
English,5,55,5,2
English,5,50,5,2
English,3,65,6,3
English,2,65,6,4
English,1,15,2,4
English,3,35,3,2
English,3,30,3,2
English,5,55,5,2
English,2,50,5,3
English,5,75,6,2
English,3,50,5,3
English,1,60,5,5
English,5,50,5,2
English,1,30,3,4
English,1,20,2,4
English,3,70,6,3
English,2,55,5,3
English,6,25,3,1
English,1,65,6,5
English,1,35,3,4
English,2,45,4,3
English,7,25,3,1
English,2,80,7,4
English,3,40,4,2
English,4,45,4,2
English,2,20,2,3
English,3,35,3,2
English,6,60,5,2
English,1,65,6,5
English,4,45,4,2
English,4,45,4,2
English,2,30,3,3
English,2,60,5,4
English,3,65,6,3
English,3,60,5,3
English,1,30,3,4
English,5,40,4,2
English,5,40,4,2
English,2,50,5,3
English,2,40,4,3
English,5,50,5,2
English,3,50,5,3
English,2,40,4,3
English,2,35,3,3
English,1,50,5,5
English,4,40,4,2
English,1,85,7,5
English,3,40,4,2
English,1,55,5,5
English,4,30,3,2
English,2,25,3,3
English,4,35,3,2
English,4,95,8,3
English,5,65,6,2
English,1,45,4,4
English,3,95,8,3
English,2,40,4,3
English,3,45,4,2
English,4,40,4,2
English,2,55,5,3
English,2,35,3,3
English,2,25,3,3
English,2,45,4,3
English,5,90,7,3
English,1,40,4,4
English,3,60,5,3
English,2,45,4,3
English,1,45,4,4
English,5,55,5,2
English,4,60,5,2
English,2,75,6,4
English,3,35,3,2
English,3,40,4,2
English,2,60,5,4
English,2,70,6,4
English,3,45,4,2
English,2,50,5,3
English,3,50,5,3
English,2,75,6,4
English,1,65,6,5
English,3,40,4,2
English,2,85,7,4
English,3,75,6,3
English,3,90,7,3
English,5,55,5,2
English,1,90,7,5
English,1,85,7,5
English,1,60,5,5
English,2,60,5,3
English,5,60,5,2
English,2,50,5,3
English,2,85,7,4
English,3,80,7,3
English,2,45,4,3
English,5,35,3,1
English,7,35,3,1
English,2,75,6,4
English,5,45,4,2
English,1,35,3,4
English,1,50,5,5
English,5,40,4,2
English,6,35,3,1
English,4,55,5,2
English,1,40,4,4
English,2,40,4,3
English,5,50,5,2
English,3,55,5,3
English,2,45,4,3
English,3,30,3,2
English,4,60,5,2
English,1,35,3,4
English,2,25,3,3
English,3,35,3,2
English,2,55,5,3
English,2,30,3,3
English,2,45,4,3
English,4,50,5,2
English,2,70,6,4
English,2,35,3,3
English,1,40,4,4
English,1,45,4,4
English,4,75,6,3
English,2,45,4,3
English,2,65,6,4
English,1,55,5,5
English,2,50,5,3
English,5,35,3,1
English,1,60,5,5
English,3,50,5,3
English,7,60,5,2
English,2,55,5,3
English,5,50,5,2
English,2,55,5,3
English,3,30,3,2
English,6,25,3,1
English,3,30,3,2
English,1,70,6,5
English,4,50,5,2
English,2,60,5,3
English,3,55,5,3
English,1,40,4,4
English,1,60,5,5
English,2,40,4,3
English,3,40,4,2
English,1,40,4,4
English,5,65,6,2
English,5,55,5,2
English,1,45,4,4
English,2,55,5,3
English,1,80,7,5
English,2,80,7,4
English,2,50,5,3
English,2,40,4,3
English,2,50,5,3
English,2,50,5,3
English,4,50,5,2
English,1,85,7,5
English,3,35,3,2
English,4,55,5,2
English,4,45,4,2
English,3,45,4,2
English,1,50,5,5
English,1,50,5,5
English,4,35,3,2
English,1,80,7,5
English,1,50,5,5
English,1,85,7,5
English,4,45,4,2
English,2,65,6,4
English,2,70,6,4
English,3,50,5,3
English,2,35,3,3
English,2,50,5,3
English,3,45,4,2
English,3,40,4,2
English,4,50,5,2
English,2,55,5,3
English,7,15,2,1
English,3,50,5,3
English,5,35,3,1
English,2,40,4,3
English,1,55,5,5
English,2,30,3,3
English,4,35,3,2
English,2,45,4,3
English,5,60,5,2
English,3,75,6,3
English,4,35,3,2
English,1,60,5,5
English,1,45,4,4
English,3,90,7,3
English,2,25,3,3
English,4,60,5,2
English,2,30,3,3
English,4,65,6,2
English,7,55,5,2
English,6,35,3,1
English,2,65,6,4
English,3,35,3,2
English,2,25,3,3
English,3,80,7,3
English,2,60,5,4
English,4,40,4,2
English,6,25,3,1
English,4,90,7,3
English,5,50,5,2
English,4,40,4,2
English,2,70,6,4
English,3,65,6,3
English,5,65,6,2
English,2,50,5,3
English,5,20,2,1
English,2,85,7,4
English,3,95,8,3
English,2,65,6,4
English,3,25,3,2
English,2,75,6,4
English,2,55,5,3
English,2,35,3,3
English,1,70,6,5
English,2,30,3,3
English,2,70,6,4
English,7,40,4,2
English,6,45,4,2
English,4,95,8,3
English,3,35,3,2
English,2,35,3,3
English,2,45,4,3
English,2,80,7,4
English,3,45,4,2
English,3,70,6,3
English,3,35,3,2
English,3,55,5,3
English,3,70,6,3
English,3,20,2,2
English,6,75,6,2
English,1,50,5,5
English,2,40,4,3
English,2,55,5,3
English,1,30,3,4
English,5,50,5,2
English,2,60,5,3
English,2,40,4,3
English,1,40,4,4
English,3,50,5,3
English,3,45,4,2
English,1,65,6,5
English,2,60,5,3
English,1,30,3,4
English,1,50,5,5
English,2,60,5,3
English,5,75,6,2
English,7,30,3,1
English,2,10,2,3
English,3,25,3,2
English,1,40,4,4
English,2,30,3,3
English,2,35,3,3
English,2,45,4,3
English,6,40,4,2
English,3,55,5,3
English,2,50,5,3
English,4,30,3,2
English,1,50,5,5
English,1,65,6,5
English,3,60,5,3
English,4,40,4,2
English,3,45,4,2
English,3,75,6,3
English,5,40,4,2
English,4,50,5,2
English,3,45,4,2
English,5,45,4,2
English,6,45,4,2
English,1,40,4,4
English,3,75,6,3
English,4,30,3,2
English,4,90,7,3
English,2,80,7,4
English,7,60,5,2
English,7,40,4,2
English,4,70,6,2
English,1,25,3,4
English,1,25,3,4
English,1,50,5,5
English,5,35,3,1
English,3,75,6,3
English,2,115,9,5
English,1,40,4,4
English,2,65,6,4
English,4,40,4,2
English,5,55,5,2
English,6,80,7,2
English,1,55,5,5
English,1,60,5,5
English,5,50,5,2
English,2,55,5,3
English,2,55,5,3
English,4,50,5,2
English,4,45,4,2
English,1,60,5,5
English,2,45,4,3
English,2,60,5,3
English,3,25,3,2
English,3,50,5,3
English,1,30,3,4
English,2,50,5,3
English,3,45,4,2
English,1,40,4,4
English,2,50,5,3
English,3,30,3,2
English,2,45,4,3
English,2,35,3,3
English,4,45,4,2
English,5,40,4,2
English,2,50,5,3
English,1,35,3,4
English,1,35,3,4
English,1,60,5,5
English,2,40,4,3
English,6,55,5,2
English,1,75,6,5
English,4,60,5,2
English,5,40,4,2
English,2,30,3,3
English,2,65,6,4
English,1,70,6,5
English,1,80,7,5
English,3,60,5,3
English,1,35,3,4
English,4,95,8,3
English,2,30,3,3
English,3,40,4,2
English,3,70,6,3
English,2,50,5,3
English,4,85,7,3
English,2,35,3,3
English,2,35,3,3
English,2,50,5,3
English,4,75,6,3
English,1,45,4,4
English,2,35,3,3
English,5,50,5,2
English,2,65,6,4
English,3,40,4,2
English,3,35,3,2
English,2,50,5,3
English,2,65,6,4
English,4,50,5,2
English,6,50,5,2
English,2,75,6,4
English,3,85,7,3
English,3,60,5,3
English,4,55,5,2
English,2,45,4,3
English,1,45,4,4
English,4,35,3,2
English,2,85,7,4
English,3,45,4,2
English,2,50,5,3
English,4,65,6,2
English,4,40,4,2
English,3,50,5,3
English,5,50,5,2
English,2,80,7,4
English,1,45,4,4
English,3,45,4,2
English,2,30,3,3
English,7,55,5,2
English,3,55,5,3
English,1,35,3,4
English,5,50,5,2
English,5,95,8,3
English,3,70,6,3
English,4,55,5,2
English,4,15,2,1
English,3,30,3,2
English,5,45,4,2
English,1,70,6,5
English,5,65,6,2
English,3,30,3,2
English,4,75,6,3
English,4,40,4,2
English,6,40,4,2
English,2,75,6,4
English,4,35,3,2
English,2,50,5,3
English,5,45,4,2
English,2,40,4,3
English,2,75,6,4
English,4,55,5,2
English,3,60,5,3
English,1,40,4,4
English,5,70,6,2
English,5,55,5,2
English,3,50,5,3
English,3,45,4,2
English,2,50,5,3
English,2,60,5,3
English,3,70,6,3
English,5,55,5,2
English,2,30,3,3
English,7,60,5,2
English,3,65,6,3
English,2,50,5,3
English,2,55,5,3
English,3,40,4,2
English,3,10,2,2
English,1,30,3,4
English,2,50,5,3
English,3,35,3,2
English,2,70,6,4
English,2,50,5,3
English,2,25,3,3
English,1,40,4,4
English,2,65,6,4
English,1,75,6,5
English,3,30,3,2
English,2,25,3,3
English,3,60,5,3
English,4,20,2,1
English,2,45,4,3
English,6,85,7,2
English,2,30,3,3
English,3,40,4,2
English,1,55,5,5
English,2,60,5,3
English,1,35,3,4
English,3,50,5,3
English,2,40,4,3
English,5,20,2,1
English,2,45,4,3
English,6,45,4,2
English,2,40,4,3
English,1,30,3,4
English,2,35,3,3
English,6,25,3,1
English,5,65,6,2
English,3,40,4,2
English,5,45,4,2
English,7,25,3,1
English,1,50,5,5
English,3,95,8,3
English,4,40,4,2
English,4,50,5,2
English,5,30,3,1
English,2,75,6,4
English,4,45,4,2
English,7,55,5,2
English,1,30,3,4
English,5,90,7,3
English,6,45,4,2
English,2,20,2,3
English,2,70,6,4
English,2,100,8,4
English,4,40,4,2
English,2,70,6,4
English,1,60,5,5
English,2,45,4,3
English,3,30,3,2
English,4,65,6,2
English,1,35,3,4
English,1,50,5,5
English,3,60,5,3
English,3,65,6,3
English,5,70,6,2
English,1,45,4,4
English,2,40,4,3
English,5,80,7,2
English,2,70,6,4
English,4,35,3,2
English,3,75,6,3
English,4,45,4,2
English,3,75,6,3
English,1,25,3,4
English,3,55,5,3
English,4,55,5,2
English,3,30,3,2
English,1,60,5,5
English,2,50,5,3
English,1,50,5,5
English,4,45,4,2
English,5,30,3,1
English,2,50,5,3
English,2,55,5,3
English,1,35,3,4
English,2,45,4,3
English,5,55,5,2
English,1,40,4,4
English,1,70,6,5
English,1,50,5,5
English,7,60,5,2
English,1,30,3,4
English,3,40,4,2
English,3,35,3,2
English,3,70,6,3
English,2,45,4,3
English,2,30,3,3
English,3,115,9,4
English,1,65,6,5
English,3,50,5,3
English,3,60,5,3
English,2,60,5,4
English,1,40,4,4
English,1,35,3,4
English,4,55,5,2
English,5,40,4,2
English,3,40,4,2
English,1,75,6,5
English,1,70,6,5
English,2,60,5,4
English,4,50,5,2
English,2,25,3,3
English,1,35,3,4
English,1,45,4,4
English,2,40,4,3
English,2,80,7,4
English,5,45,4,2
English,2,35,3,3
English,7,60,5,2
English,4,45,4,2
English,4,35,3,2
English,1,35,3,4
English,1,40,4,4
English,1,40,4,4
English,2,45,4,3
English,2,35,3,3
English,2,45,4,3
English,2,30,3,3
English,2,60,5,4
English,4,60,5,2
English,2,70,6,4
English,1,75,6,5
English,1,40,4,4
English,2,50,5,3
English,5,55,5,2
English,3,30,3,2
English,4,45,4,2
English,2,85,7,4
English,3,30,3,2
English,4,35,3,2
English,1,40,4,4
English,2,55,5,3
English,3,30,3,2
English,3,40,4,2
English,1,60,5,5
English,3,70,6,3
English,3,55,5,3
English,5,35,3,1
English,2,35,3,3
English,4,65,6,2
English,2,60,5,4
English,4,50,5,2
English,2,35,3,3
English,4,25,3,2
English,2,55,5,3
English,2,55,5,3
English,3,40,4,2
English,2,30,3,3
English,3,35,3,2
English,3,60,5,3
English,5,70,6,2
English,1,45,4,4
